Statistik_Code,Statistik_Label,Zeit_Code,Zeit_Label,Zeit,1_Merkmal_Code,1_Merkmal_Label,1_Auspraegung_Code,1_Auspraegung_Label,2_Merkmal_Code,2_Merkmal_Label,2_Auspraegung_Code,2_Auspraegung_Label,3_Merkmal_Code,3_Merkmal_Label,3_Auspraegung_Code,3_Auspraegung_Label,BEV027__Auslaender__Anzahl
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST126,Dänemark,1075
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST129,Frankreich,11405
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST148,Niederlande,5605
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST151,Österreich,43275
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST152,Polen,66085
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST158,Schweiz,3245
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST164,Tschechien,12160
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,,Insgesamt,948290
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST124,Belgien,1415
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST126,Dänemark,1055
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST129,Frankreich,11700
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST148,Niederlande,4250
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST151,Österreich,42090
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST152,Polen,51740
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST158,Schweiz,3850
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST164,Tschechien,14235
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,,Insgesamt,2051505
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST124,Belgien,2950
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST126,Dänemark,2130
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST129,Frankreich,23100
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST148,Niederlande,9855
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST151,Österreich,85365
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST152,Polen,117825
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST158,Schweiz,7095
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,09,Bayern,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST164,Tschechien,26395
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,,Insgesamt,444155
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST124,Belgien,1400
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST126,Dänemark,1720
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST129,Frankreich,11220
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST148,Niederlande,4555
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST151,Österreich,6955
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST152,Polen,32690
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST158,Schweiz,1590
